title,date,days
"Decision Forests, Convolutional Networks and the Models in-Between",2 points by ebellm 10 days ago  | discuss,10
How a Math Genius Hacked OkCupid to Find True Love,15 points by roh_codeur 28 days ago  | discuss,28
No developers for PyLearn2,3 points by tfturing 13 days ago  | discuss,13
Density Estimation with Dirichlet Process Mixtures using PyMC3,6 points by MidsizeBlowfish 19 days ago  | discuss,19
Using survival analysis and git-pandas to estimate code quality,3 points by wdm0006 14 days ago  | discuss,14
An Analysis of the Flint Michigan Water Crisis: Part 1 Initial Corrosivity,3 points by JHorn 14 days ago  | discuss,14
An Analysis of Republican Twitter Follower Interests,6 points by michelangelo 20 days ago  | discuss,20
Introduction to ML talk,8 points by cjbayesian 23 days ago  | discuss,23
GloVe vs word2vec revisited,3 points by pmigdal 14 days ago  | discuss,14
Undergrad Data Analysis/Science internships SF Bay?,3 points by tctctc 9 days ago  | 5 comments,9
The Role of Statistical Significance in Growth Hacking,6 points by rawls234 21 days ago  | discuss,21
Data Science Course @ Harvard,7 points by rahmaniacc 23 days ago  | 2 comments,23
Principal Component Projection Without Principal Component Analysis,6 points by genofon 21 days ago  | discuss,21
"Machine Learning: An In-Depth, Non-Technical Guide - Part 3",7 points by innoarchitech 23 days ago  | discuss,23
Stochastic Dummy Boosting,2 points by mikeskim 12 days ago  | discuss,12
Interactive Map: Hong-Kong through The Lense of Instagram,2 points by BrianN 13 days ago  | discuss,13
Data Science at Monsanto,3 points by doctorcroc 16 days ago  | discuss,16
Data Science at Instacart,11 points by jeremystan 28 days ago  | 3 comments,28
Building a Streaming Search Platform,6 points by ddrum001 22 days ago  | discuss,22
A Sneak Peak of the Cloud: the 2 Minute Intro for Beginners,2 points by andymaheshw 14 days ago  | discuss,14
Win-Vector video courses: price/status changes,2 points by jmount 14 days ago  | discuss,14
50+ Data Science and Machine Learning Cheat Sheets,20 points by elyase 36 days ago  | 1 comment,36
One More Reason Not To Be Scared of Deep Learning,2 points by amplifier_khan 15 days ago  | discuss,15
Visual Logic Authoring vs Code,2 points by AnnaOnTheWeb 15 days ago  | discuss,15
Data Science in Python online training with hands-on experience,2 points by Puneet 15 days ago  | discuss,15
Viewing the US Presidential Primary Through the Lens of Twitter,8 points by michelangelo 27 days ago  | discuss,27
Caffe on Spark open sourced,4 points by rahmaniacc 21 days ago  | discuss,21
The Ethical Data Scientist,5 points by tfturing 23 days ago  | discuss,23
Answers to Frequently Asked Questions in Machine Learning,3 points by rasbt 15 days ago  | discuss,15
Intro to A/B Testing and P-Values,2 points by randyzwitch 16 days ago  | discuss,16
Visualizing State Level Data With R and Statebins,2 points by usujason 16 days ago  | discuss,16
"Probabilistic Graphical Models slides & video lectures (Eric Xing, CMU)",4 points by ororm 21 days ago  | discuss,21
Sense2vec with spaCy and Gensim,9 points by elyase 30 days ago  | 2 comments,30
How to Code and Understand DeepMind's Neural Stack Machine (in Python),2 points by genofon 17 days ago  | discuss,17
How to make polished Jupyter presentations with optional code visibility,9 points by csaid81 30 days ago  | discuss,30
How to become a Bayesian in eight easy steps,17 points by EtzA 38 days ago  | 1 comment,38
Optimizing .*:  Details of Vectorization and Metaprogramming in Julia,4 points by randyzwitch 23 days ago  | discuss,23
IBM certified Apache Spark Online Training,8 points by divya_jain 29 days ago  | discuss,29
Geographic Data Science course,2 points by rk 18 days ago  | discuss,18
"The Daily Mail Stole My Visualization, Twice",5 points by thehoff 26 days ago  | 1 comment,26
Ensemble Methods: Improved Machine Learning Results,9 points by PyBloggers 32 days ago  | discuss,32
Apache Spark and unsupervised learning in security,2 points by gradientflow 20 days ago  | discuss,20
MachineJS: Automated machine learning- just give it a data file!,2 points by dsernst 20 days ago  | discuss,20
Kafka Producer Latency with Large Topic Counts,2 points by marklit 20 days ago  | discuss,20
The NSA???s SKYNET program may be killing thousands of innocent people,6 points by zlipp 29 days ago  | discuss,29
Overoptimizing: a story about kaggle,3 points by wdm0006 24 days ago  | discuss,24
"Big Dimensions, and What You Can Do About It",2 points by ramsey 21 days ago  | discuss,21
Automate Your Oscars Pool with R,2 points by jamesdreiss 21 days ago  | discuss,21
Signal Processing with LIGO GW150914 data,9 points by tfturing 33 days ago  | discuss,33
Overview of DeZyre and Coursera Data Science Course,5 points by ann928 28 days ago  | discuss,28
Upcoming Datathon in NYC,2 points by VicTrey 22 days ago  | discuss,22
Summarizing Data in SQL,15 points by elisebreda 40 days ago  | discuss,40
A/B Testing for Scammers,2 points by sameermanek 22 days ago  | discuss,22
Highly interpretable classifiers for scikit learn using Bayesian decision rules,2 points by mcnulty 22 days ago  | discuss,22
Auto-scaling scikit-learn with Spark,11 points by falaki 37 days ago  | discuss,37
Where the f*** can I park?,2 points by manugarri 23 days ago  | discuss,23
"Machine Learning: An In-Depth, Non-Technical Guide - Part 2",5 points by innoarchitech 30 days ago  | discuss,30
Webhose.io now offers a historical data archive,7 points by databuffer 34 days ago  | discuss,34
Meetup: Introduction to Machine Learning Algorithms for Data Science.,4 points by ann928 29 days ago  | discuss,29
Exploring the Limits of Language Modeling,8 points by soates 36 days ago  | discuss,36
Text Mining South Park,7 points by pmigdal 35 days ago  | discuss,35
Finding the K in K-means by Parametric Bootstrap,7 points by jmount 35 days ago  | 1 comment,35
A Billion NYC Taxi and Uber Rides in AWS Redshift,2 points by marklit 25 days ago  | discuss,25
Getting Started with Statistics for Data Science,3 points by nickhould 29 days ago  | discuss,29
Rodeo 1.3 - Tab-completion for docstrings,3 points by glamp 29 days ago  | discuss,29
Teaching D3.js - links,3 points by pmigdal 29 days ago  | discuss,29
Parallel scikit-learn on YARN,5 points by stijntonk 33 days ago  | discuss,33
Meetup: Free Live Webinar on Prescriptive Analytics for Fun and Profit,2 points by ann928 26 days ago  | discuss,26
Access to VK.com (Vkontakte) API via R,2 points by dementiy 27 days ago  | discuss,27
 	Deep Learning Tutorial by Y. LeCun and Y. Bengio,15 points by Anon84 45 days ago  | 1 comment,45
Machine Learning Meets Economics,20 points by nicolaskruchten 49 days ago  | discuss,49
Culll for data science. culled from the best!,5 points by culllman 34 days ago  | 1 comment,34
Topic Modelling: Parliamentary Debate Records ,6 points by jovianho 36 days ago  | discuss,36
Ask DT: Who Is Hiring? (February 2016),24 points by racketracer 44 days ago  | 19 comments,44
A Day in the Life of a Data Scientist (Rutgers Online),2 points by jaytaylor 28 days ago  | 1 comment,28
GPU Computing for Data Science,11 points by AnnaOnTheWeb 43 days ago  | discuss,43
Big Data Landscape: Database of 675+ Big Data Players,4 points by dfkoz 34 days ago  | discuss,34
Deep Learning Udacity Course,20 points by tfturing 55 days ago  | 1 comment,55
What has Kaggle learned from 2 million machine learning models?,4 points by tfturing 36 days ago  | discuss,36
Making Causal Impact Analysis Easy,29 points by jxnlco 62 days ago  | discuss,62
A recommendation system for blogs: Content-based similarity (part 2),2 points by tommels 30 days ago  | discuss,30
Turing Art Test,4 points by soates 36 days ago  | discuss,36
The happiness paradox: your friends are happier than you,4 points by Anon84 36 days ago  | discuss,36
Deep Learning with Spark and Tensorflow,12 points by elyase 51 days ago  | discuss,51
Down and out in statistical computing,7 points by randyzwitch 44 days ago  | 1 comment,44
AlphaGo: using machine learning to master the ancient game of Go,10 points by Anon84 49 days ago  | discuss,49
Census Analyzer: preview of technology for web based tool for data analysis,9 points by solomatov 48 days ago  | 1 comment,48
Introduction to Java Web Scraping,3 points by ksahin 37 days ago  | discuss,37
Market Basket Analysis Using R,3 points by randyzwitch 37 days ago  | discuss,37
"Marvin Minsky, Pioneer in Artificial Intelligence, Dies at 88",10 points by vonnik 51 days ago  | discuss,51
Open Source Deep Learning Server,6 points by soates 44 days ago  | discuss,44
Spark-TS: A New Library for Analyzing Time-Series Data with Apache Spark,5 points by tfturing 42 days ago  | 1 comment,42
An exploration of convnet filters with Keras,6 points by soates 44 days ago  | discuss,44
Applied Spatial Data Science with R,9 points by AnnaOnTheWeb 50 days ago  | discuss,50
Secrets of Building a Data-Driven Organization,7 points by vvan0016 49 days ago  | 1 comment,49
Philly Tweets,2 points by ctufts 36 days ago  | 1 comment,36
Neglected data science optimization topic: set diversity,2 points by jmount 37 days ago  | discuss,37
"Machine Learning: An In-Depth, Non-Technical Guide - Part 2",2 points by innoarchitech 37 days ago  | discuss,37
Statistical Dependency Parsing using SVM in Python by @rj_here,2 points by rjbullet 37 days ago  | 3 comments,37
5 Reasons Kaggle Projects Won't Help Your Data Science Resume,9 points by Veerle 52 days ago  | 1 comment,52
Deep Learning Glossary,9 points by dbritz 52 days ago  | discuss,52
Teaching a Semester of D3.js,16 points by pmigdal 60 days ago  | discuss,60
Finding Nearest Neighbors in SQL,7 points by jonathanbishop 50 days ago  | 2 comments,50
Free Data Science Curriculum,8 points by Veerle 52 days ago  | discuss,52
Deep Learning is Easy - Learn Something Harder,5 points by ebellm 48 days ago  | discuss,48
"FlyElephant as a tool for calculations in C++, R, Python, or Octave",6 points by m31 51 days ago  | discuss,51
Yahoo Releases the Largest-ever Machine Learning Dataset for Researchers,13 points by srinify 62 days ago  | 1 comment,62
