title,date,days,tokens,stem,lemma,pos_tags,named_entities
"XGBoost4J: Portable Distributed XGboost in Spark, Flink and Dataflow",7 points by crowwork 2 days ago  | discuss,2,"['xgboost4j', 'portable', 'distributed', 'xgboost', 'spark', 'flink', 'dataflow']","XGBoost4J: Portable Distributed XGboost in Spark, Flink and Dataflow","XGBoost4J: Portable Distributed XGboost in Spark, Flink and Dataflow","[('XGBoost4J', 'NN'), (':', ':'), ('Portable', 'JJ'), ('Distributed', 'NNP'), ('XGboost', 'NN'), ('in', 'IN'), ('Spark', 'NNP'), (',', ','), ('Flink', 'NNP'), ('and', 'CC'), ('Dataflow', 'NNP')]","['XGBoost4J', 'Spark', 'Flink', 'Dataflow']"
Introduction to Scikit Flow -  Simplified Interface to TensorFlow,4 points by lefish 1 day ago  | discuss,1,"['introduction', 'scikit', 'flow', 'simplified', 'interface', 'tensorflow']",Introduction to Scikit Flow -  Simplified Interface to TensorFlow,Introduction to Scikit Flow -  Simplified Interface to TensorFlow,"[('Introduction', 'NN'), ('to', 'TO'), ('Scikit', 'NNP'), ('Flow', 'NNP'), ('-', ':'), ('Simplified', 'VBD'), ('Interface', 'NNP'), ('to', 'TO'), ('TensorFlow', 'VB')]",['Scikit Flow']
The Personality Space of Cartoon Characters,3 points by lefish 1 day ago  | discuss,1,"['personality', 'space', 'cartoon', 'characters']",The Personality Space of Cartoon Charact,The Personality Space of Cartoon Characters,"[('The', 'DT'), ('Personality', 'NNP'), ('Space', 'NNP'), ('of', 'IN'), ('Cartoon', 'NNP'), ('Characters', 'NNS')]","['Personality Space', 'Cartoon']"
"Machine Learning: An In-Depth, Non-Technical Guide???Part 4",5 points by innoarchitech 2 days ago  | discuss,2,"['machine', 'learning', 'depth', 'non', 'technical', 'guide', '???', 'part', '4']","Machine Learning: An In-Depth, Non-Technical Guide???Part 4","Machine Learning: An In-Depth, Non-Technical Guide???Part 4","[('Machine', 'NN'), ('Learning', 'NNP'), (':', ':'), ('An', 'DT'), ('In', 'IN'), ('-', ':'), ('Depth', 'NN'), (',', ','), ('Non', 'NNP'), ('-', ':'), ('Technical', 'NNP'), ('Guide', 'NNP'), ('???', 'NNP'), ('Part', 'NNP'), ('4', 'CD')]","['Machine Learning', 'Non', 'Technical Guide']"
How to learn machine learning?,4 points by kiechu 2 days ago  | 1 comment,2,"['learn', 'machine', 'learning']",How to learn machine learning?,How to learn machine learning?,"[('How', 'WRB'), ('to', 'TO'), ('learn', 'VB'), ('machine', 'NN'), ('learning', 'NN'), ('?', '.')]",[]
How do we make Data Tau work?,20 points by hal8 3 days ago  | 10 comments,3,"['make', 'data', 'tau', 'work']",How do we make Data Tau work?,How do we make Data Tau work?,"[('How', 'WRB'), ('do', 'VBP'), ('we', 'PRP'), ('make', 'VB'), ('Data', 'NNP'), ('Tau', 'NNP'), ('work', 'NN'), ('?', '.')]",['Data Tau']
7 Big Data Technologies and When to Use Them that All Data Engineers Should Know,2 points by galvanize 1 day ago  | discuss,1,"['7', 'big', 'data', 'technologies', 'use', 'data', 'engineers', 'know']",7 Big Data Technologies and When to Use Them that All Data Engineers Should Know,7 Big Data Technologies and When to Use Them that All Data Engineers Should Know,"[('7', 'CD'), ('Big', 'NNP'), ('Data', 'NNP'), ('Technologies', 'NNPS'), ('and', 'CC'), ('When', 'WRB'), ('to', 'TO'), ('Use', 'VB'), ('Them', 'NNP'), ('that', 'IN'), ('All', 'NNP'), ('Data', 'NNP'), ('Engineers', 'NNP'), ('Should', 'NNP'), ('Know', 'NNP')]",['All Data Engineers Should Know']
Data Science Slack channel - Click for invite,4 points by jyotsna 2 days ago  | discuss,2,"['data', 'science', 'slack', 'channel', 'click', 'invite']",Data Science Slack channel - Click for invit,Data Science Slack channel - Click for invite,"[('Data', 'NNP'), ('Science', 'NNP'), ('Slack', 'NNP'), ('channel', 'NN'), ('-', ':'), ('Click', 'NN'), ('for', 'IN'), ('invite', 'NN')]","['Data Science Slack', 'Click']"
Minecraft to run artificial intelligence experiments,4 points by bsadeghi 2 days ago  | discuss,2,"['minecraft', 'run', 'artificial', 'intelligence', 'experiments']",Minecraft to run artificial intelligence experi,Minecraft to run artificial intelligence experiments,"[('Minecraft', 'NN'), ('to', 'TO'), ('run', 'VB'), ('artificial', 'JJ'), ('intelligence', 'NN'), ('experiments', 'NNS')]",['Minecraft']
Deep Q-Learning (Space Invaders),4 points by pmigdal 2 days ago  | discuss,2,"['deep', 'q', 'learning', 'space', 'invaders']",Deep Q-Learning (Space Invaders),Deep Q-Learning (Space Invaders),"[('Deep', 'NNP'), ('Q', 'NNP'), ('-', ':'), ('Learning', 'NNP'), ('(', '('), ('Space', 'NNP'), ('Invaders', 'NNP'), (')', ')')]","['Deep', 'Space Invaders']"
